AIS Id	Ordnung	AIS Code	ISS BodyRegion DE	Label DE					
861	01.01.05.02	161002.2	1: Kopf / Hals	Commotio cerebri mit kurzer Bewusstlosigkeit					
862	01.01.05.03	161006.3	1: Kopf / Hals	Commotio cerebri mit Bewusstlosigkeit >1 Std.					
863	01.02			Knöcherne Verletzungen Kopf					
864	01.02.01	150200.3	1: Kopf / Hals	Schädelbasisfraktur (incl. Orbitadach)					
865	01.02.02	150206.4	1: Kopf / Hals	Schädelbasisfraktur, komplex oder offen oder Trümmerbruch mit Hirnfreilegung					
866	01.02.03	150402.2	1: Kopf / Hals	Schädeldachfraktur, geschlossen					
867	01.02.04	150404.3	1: Kopf / Hals	"Schädeldachfraktur, Trümmerbruch; &le; 2cm tief; Dura intakt"					
868	01.02.05	150406.4	1: Kopf / Hals	Schädeldachfraktur, komplex oder offen oder Trümmerbruch mit Hirnfreilegung					
869	01.03			Weichteilverletzungen Kopf					
870	01.03.01	110600.1	6: Weichteile	"Kopfschwarte, leichte Verletzung (&le; 10cm lang), Abschürfung; Kontusion"					
871	01.03.02	110604.2	6: Weichteile	Kopfschwarte, schwere Verletzung (> 10cm lang oder Skalpierungsverletzung)					
872	01.03.03	110606.3	6: Weichteile	Kopfschwarte, schwere Verletzung mit Blutverlust > 20% des Blutvolumens					
873	01.03.04	110403.2	6: Weichteile	Subgaleales Hämatom (nur bei Kinder < 6 Monate!)					
874	01.03.05	110404.3	6: Weichteile	Subgaleales Hämatom mit Blutverlust > 20% des Blutvolumens (nur bei Kinder < 6 Monate!)					
875	01.04			Gefäße					
876	01.04.01			Arterielle Gefäße					
877	01.04.01.01			A. cerebri anterior					
878	01.04.01.01.01	120204.3	1: Kopf / Hals	Thrombose/Verschluss, traumat. Aneurysma					
879	01.04.01.01.02	120205.4	1: Kopf / Hals	Thrombose/Verschluss beidseits					
880	01.04.01.01.03	120202.5	1: Kopf / Hals	Verletzung					
881	01.04.01.02			A. cerebri media					
882	01.04.01.02.01	121406.3	1: Kopf / Hals	traumat. Aneurysma					
883	01.04.01.02.02	121404.4	1: Kopf / Hals	Thrombose/Verschluss					
884	01.04.01.02.03	121405.5	1: Kopf / Hals	Thrombose/Verschluss, beidseits					
885	01.04.01.02.04	121402.5	1: Kopf / Hals	Verletzung					
886	01.04.01.03			A. cerebri posterior					
887	01.04.01.03.01	121804.3	1: Kopf / Hals	Thrombose/Verschluss, traumat. Aneurysma					
888	01.04.01.03.02	121805.4	1: Kopf / Hals	Thrombose/Verschluss beidseits					
889	01.04.01.03.03	121802.5	1: Kopf / Hals	Verletzung					
890	01.04.01.04			A. carotis interna					
891	01.04.01.04.01	121006.3	1: Kopf / Hals	traumat. Aneurysma					
892	01.04.01.04.02	121004.4	1: Kopf / Hals	Thrombose/Verschluss					
893	01.04.01.04.03	121005.5	1: Kopf / Hals	Thrombose/Verschluss beidseits					
894	01.04.01.04.04	121002.5	1: Kopf / Hals	Verletzung					
895	01.04.01.04.05	121003.6	1: Kopf / Hals	Verletzung, beidseits					
896	01.04.01.05			A. vertebralis					
897	01.04.01.05.01	122804.3	1: Kopf / Hals	Thrombose/Verschluss, traumat. Aneurysma					
898	01.04.01.05.02	122805.4	1: Kopf / Hals	Thrombose/Verschluss beidseits					
899	01.04.01.05.03	122802.5	1: Kopf / Hals	Verletzung					
900	01.04.01.05.04	122803.6	1: Kopf / Hals	Verletzung, beiseits					
901	01.04.01.05.05	120402.5	1: Kopf / Hals	A. basiliaris, Verletzung, Thrombose, traumat. Aneurysma					
902	01.04.01.05.06	120199.3	1: Kopf / Hals	intracranielles Gefäß, nicht näher bez.					
1501	01.04.01.06	120402.5	1: Kopf / Hals	A. basiliaris, Verletzung, Thrombose, traumat. Aneurysma					
1502	01.04.01.07	120199.3	1: Kopf / Hals	intracranielles Gefäß, nicht näher bez.					
903	01.04.02			Sinus					
904	01.04.02.01	122204.3	1: Kopf / Hals	Thrombose/Verschluss					
905	01.04.02.02	122006.4	1: Kopf / Hals	Thrombose/Verschluss b. Sinus sigmoidalis					
906	01.04.02.03	123004.5	1: Kopf / Hals	Thrombose/Verschluss beim Sinus rectus					
907	01.04.02.04	122202.4	1: Kopf / Hals	Verletzung					
908	01.04.02.05	120804.5	1: Kopf / Hals	"Sinus cavernosus/sigmoidalis/rectus, offene Verletzung; Segmentverlust; nach außen blutend"					
909	01.04.02.06	122005.6	1: Kopf / Hals	Sinus sigmoidalis, offene Verletzung beidseits					
910	01.04.03			Venöse Gefäße					
911	01.04.03.01	122504.3	1: Kopf / Hals	Thrombose / Verschluss					
912	01.04.03.02	122502.4	1: Kopf / Hals	Verletzung					
913	01.05			Nerven, Kopf					
914	01.05.01	130299.2	1: Kopf / Hals	alle Hirnnerven, Kontusion oder Verletzung (Nachweis auch über funktionelle Defizite / Ausfälle)					
915	01.05.02	131605.3	1: Kopf / Hals	Hirnnerven, beidseitige Verletzung (N. facialis und vestibulocochlearis)					
917	01.06			"Penetrierende Verletzungen (Schuss; Stich)"					
918	01.06.01	116002.3	1: Kopf / Hals	"ohne Hirnbeteiligung, oberflächlich; &le; 2cm tief"					
919	01.06.02	116004.5	1: Kopf / Hals	"ohne Hirnbeteiligung, schwer; > 2cm tief"					
920	01.06.03	140691.3	1: Kopf / Hals	"Großhirn, Verletzung &le; 2cm tief"					
921	01.06.04	140692.5	1: Kopf / Hals	Großhirn, Verletzung > 2cm tief					
922	01.06.05	140477.3	1: Kopf / Hals	"Kleinhirn, Verletzung &le; 2cm tief"					
923	01.06.06	140476.5	1: Kopf / Hals	Kleinhirn, Verletzung > 2cm tief					
924	01.06.07	140216.6	1: Kopf / Hals	Hirnstamm					
925	02			Gesicht					
926	02.01			Organe, Gesicht					
927	02.01.01			Ohr					
928	02.01.01.01	240299.1	2: Gesicht	Verletzung					
929	02.01.01.02	240207.2	2: Gesicht	Verletzung beidseitig					
930	02.01.02			Auge					
931	02.01.02.01	240499.1	2: Gesicht	Verletzung					
932	02.01.02.02	241006.2	2: Gesicht	Verletzung mit Retinaablösung					
933	02.01.02.03	241200.2	2: Gesicht	Verletzung der äußeren Augenhaut					
934	02.01.02.04	240402.2	2: Gesicht	Abriss, Enukleation einseitig					
935	02.01.02.05	240403.3	2: Gesicht	Abriss, Enukleation beidseitig					
936	02.01.03			Nase					
937	02.01.03.01	251099.1	2: Gesicht	Verletzung					
938	02.01.03.02	251000.1	2: Gesicht	Nasenbeinfraktur					
939	02.01.03.03	251002.2	2: Gesicht	Nasenbeinfraktur, offen, oder Septumfraktur					
940	02.01.04			Mund und Mundhöhle					
941	02.01.04.01	243099.1	2: Gesicht	Mund, Verletzung					
942	02.01.04.02	243000.1	2: Gesicht	Gaumen, Verletzung					
943	02.01.04.03	243400.1	2: Gesicht	Zunge, Verletzung					
944	02.01.04.04	243404.2	2: Gesicht	Zunge, Verletzung, tief oder ausgedehnt					
945	02.01.04.05	251499.1	2: Gesicht	"Zahn; Luxation, Fraktur, Verlust"					
946	02.02			Knöcherne Verletzungen, Gesicht					
947	02.02.01	250699.1	2: Gesicht	Unterkiefer-Fraktur					
948	02.02.02	250610.2	2: Gesicht	Unterkiefer-Fraktur offen					
949	02.02.03	250200.2	2: Gesicht	Alveolarkammfraktur					
950	02.02.04	251000.1	2: Gesicht	Nasenbeinfraktur					
951	02.02.05	251800.1	2: Gesicht	Jochbeinfraktur					
952	02.02.06	251200.2	2: Gesicht	Orbita (ohne Orbitadach, siehe Kopf)					
953	02.02.07	250804.2	2: Gesicht	komplexe Maxilla-Fraktur LeFort I oder II					
954	02.02.08	250808.3	2: Gesicht	komplexe Maxilla-Fraktur LeFort III					
955	02.02.09	250810.4	2: Gesicht	komplexe Maxilla-Fraktur mit Blutverlust > 20% des Blutvolumens					
956	02.02.10	251900.3	2: Gesicht	komplexe Mittelgesicht-Frakturen (außer LeFort)					
957	02.02.11	251902.4	2: Gesicht	komplexe Mittelgesicht-Frakturen (außer LeFort), mit Blutverlust > 20% des Blutvolumens					
958	02.03			Gelenke, Gesicht					
959	02.03.01	251699.1	2: Gesicht	Temporomandibulargelenk					
960	02.03.02	251604.2	2: Gesicht	Temporomandibulargelenk, Luxation					
961	02.04			Weichteilverletzungen, Gesicht					
962	02.04.01	210099.1	6: Weichteile	Weichteilverletzung					
963	02.04.02	210604.2	6: Weichteile	große Weichteilverletzung (> 10cm lang und ins Subcutangewebe reichend)					
964	02.04.03	210606.3	6: Weichteile	massive Weichteilverletzung mit Blutverlust > 20% des Blutvolumens					
965	02.05			Gefäße, Gesicht					
966	02.05.01	220202.1	2: Gesicht	A. carotis externa					
967	02.05.02	220204.3	2: Gesicht	A. carotis externa, mit Blutverlust > 20% des Blutvolumens					
968	02.06			Nerven, Gesicht					
969	02.06.01	230202.2	2: Gesicht	Nervus opticus, Kontusion					
970	02.06.02	230204.2	2: Gesicht	Nervus opticus, Verletzung oder Abriss unilateral					
971	02.06.03	230205.3	2: Gesicht	Nervus opticus, Verletzung oder Abriss bilateral					
972	02.07			"Penetrierende Verletzungen (Schuss; Stich)"					
973	02.07.01	216000.1	2: Gesicht	penetrierende Verletzung					
974	02.07.02	216004.2	2: Gesicht	große penetrierende Verletzung mit Gewebeverlust > 25cm_					
975	02.07.03	216006.3	2: Gesicht	penetrierende Verletzung mit Blutverlust > 20% des Blutvolumens					
976	02.07.04	216008.4	2: Gesicht	massive penetrierende Verletzungen im Gesicht mit Zerstörung beider Augen					
977	03			Hals					
978	03.01			Organe, Hals					
979	03.01.01			Ösophagus					
980	03.01.01.01	340102.2	1: Kopf / Hals	"Kontusion; Hämatom (OIS I)"					
981	03.01.01.02	340106.3	1: Kopf / Hals	"Verletzung; Einriss; keine Perforation (OIS II)"					
982	03.01.01.03	340108.4	1: Kopf / Hals	"Verletzung; Perforation oder Einriss >50% des Umfanges (OIS III)"					
983	03.01.01.04	340109.5	1: Kopf / Hals	"Verletzung, massiv; Abriss; Einriss/Ruptur; Durchtrennung; schwere Zerstörung (OIS IV, V)"					
984	03.01.02			Larynx					
985	03.01.02.01	340202.2	1: Kopf / Hals	"Kontusion; Hämatom; leichte Verletzung ohne Perforation"					
986	03.01.02.02	340208.3	1: Kopf / Hals	"Verletzung; Einriss; Perforation"					
987	03.01.02.03	340210.4	1: Kopf / Hals	"Verletzung; Einriss; Perforation; mit Beteiligung der Stimmbänder"					
988	03.01.02.04	340212.5	1: Kopf / Hals	"Verletzung, massiv; Abriss; Einriss/Ruptur; Durchtrennung; schwere Zerstörung"					
989	03.01.03			Pharynx					
990	03.01.03.01	340602.2	1: Kopf / Hals	"Kontusion; Hämatom; leichte Verletzung"					
991	03.01.03.02	340606.3	1: Kopf / Hals	Verletzung, schwer, ohne Perforation (OIS II)					
992	03.01.03.03	340608.4	1: Kopf / Hals	"Verletzung; schwer, mit Perforation"					
993	03.01.03.04	340610.5	1: Kopf / Hals	"Verletzung, massiv; Abriss; Einriss/Ruptur; Durchtrennung; schwere Zerstörung"					
994	03.01.04			Trachea					
995	03.01.04.01	341602.2	1: Kopf / Hals	"Kontusion; Hämatom; leichte Verletzung"					
996	03.01.04.02	341608.3	1: Kopf / Hals	"Verletzung; mit Perforation; Einriss (OIS II)"					
997	03.01.04.03	341610.4	1: Kopf / Hals	"Verletzung, massiv; Abriss; Einriss/Ruptur; Durchtrennung; schwere Zerstörung"					
998	03.01.05			Stimmbänder					
999	03.01.05.01	341802.2	1: Kopf / Hals	Verletzung, einseitig					
1000	03.01.05.02	341804.3	1: Kopf / Hals	Verletzung, beidseitig					
1001	03.01.06			Drüsen					
1002	03.01.06.01	341099.2	1: Kopf / Hals	Speicheldrüse					
1003	03.01.06.02	341002.3	1: Kopf / Hals	"Speicheldrüse, Gang-Beteiligung; Durchtrennung"					
1004	03.01.06.03	341402.1	1: Kopf / Hals	Schilddrüse, Kontusion, Hämatom					
1005	03.01.06.04	341404.2	1: Kopf / Hals	Schilddrüse, Verletzung					
1006	03.02			Knöcherne Verletzungen, Hals					
1007	03.02.01	350200.2	1: Kopf / Hals	Zungenbeinfraktur					
1008	03.03			Weichteilverletzungen, Hals					
1009	03.03.01	310099.1	6: Weichteile	Weichteilverletzung					
1010	03.03.02	310604.2	6: Weichteile	große Weichteilverletzung (> 10cm lang und bis ins Subcutangewebe)					
1011	03.03.03	310606.3	6: Weichteile	massive Weichteilverletzung mit Blutverlust > 20% des Blutvolumens					
1012	03.04			Gefäße, Hals					
1013	03.04.01			Arterielle Gefäße, Hals					
1014	03.04.01.01	320299.3	1: Kopf / Hals	A. carotis interna oder communis					
1015	03.04.01.02	320212.4	1: Kopf / Hals	"A. carotis interna oder communis; schwere Verletzung: Ruptur, oder beidseitig, oder mit Blutverlust > 20% des Blutvolumens"					
1016	03.04.01.03	320215.5	1: Kopf / Hals	"A. carotis interna oder communis; schwere Verletzung mit neurologischem Defizit (nicht durch SHT bedingt)"					
1017	03.04.01.04	320499.2	1: Kopf / Hals	A. carotis externa					
1018	03.04.01.05	320408.3	1: Kopf / Hals	A. carotis externa, schwere Verletzung: Ruptur oder mit mit Blutverlust > 20% des Blutvolumens					
1019	03.04.01.06	321099.2	1: Kopf / Hals	A. vertebralis					
1020	03.04.01.07	321012.3	1: Kopf / Hals	A. vertebralis, schwere Verletzung: Ruptur oder mit Blutverlust > 20% des Blutvolumens					
1021	03.04.01.08	321016.4	1: Kopf / Hals	A. vertebralis, Verletzung mit thromb. Verschluss					
1022	03.04.01.09	321021.5	1: Kopf / Hals	A. vertebralis, schwere Verletzung mit thromb. Verschluss beidseits					
1023	03.04.02			Venöse Gefäße, Hals					
1024	03.04.02.01	320699.1	1: Kopf / Hals	V. jugularis externa					
1025	03.04.02.02	320606.3	1: Kopf / Hals	V. jugularis externa, schwere Verletzung: Ruptur, oder beidseitig, oder mit Blutverlust > 20% des Blutvolumens					
1026	03.04.02.03	320802.2	1: Kopf / Hals	V. jugularis interna					
1027	03.04.02.04	320806.3	1: Kopf / Hals	V. jugularis interna, schwere Verletzung: Ruptur, oder beidseitig, oder mit Blutverlust > 20% des Blutvolumens					
1028	03.05			Nerven, Hals					
1029	03.05.01	330499.1	1: Kopf / Hals	N. vagus (nur im Bereich Hals)					
1030	03.05.02	330299.2	1: Kopf / Hals	N. phrenicus, einseitig					
1031	03.05.03	330298.4	1: Kopf / Hals	N. phrenicus, beidseits					
1032	03.06			Penetrierende Verletzungen (Schuss, Stich), Hals					
1033	03.06.01	316000.1	1: Kopf / Hals	penetrierende Verletzung					
1034	03.06.02	316004.2	1: Kopf / Hals	"große penetrierende Verletzung, mit Gewebeverlust > 25 cm&sup2;"					
1035	03.06.03	316006.3	1: Kopf / Hals	penetrierende Verletzung mit Blutverlust > 20% des Blutvolumens					
1036	04			Thorax					
1037	04.01			Innere Organe, Thorax					
1038	04.01.01			Lunge					
1039	04.01.01.01			Kontusion, Lunge					
1040	04.01.01.01.01	441406.2	3: Thorax	einseitig, mäßig schwer (< 1 Lappen betreffend)					
1041	04.01.01.01.02	441408.3	3: Thorax	"einseitig, schwer (&ge; 1 Lappen betreffend)"					
1042	04.01.01.01.03	441411.3	3: Thorax	beidseitig, mäßig schwer (< 1 Lappen betreffend)					
1043	04.01.01.01.04	441412.4	3: Thorax	"beidseitig, schwer (&ge; 1 Lappen betreffend auf mind. einer Seite)"					
1044	04.01.01.02			Parenchymverletzung, Lunge					
1045	04.01.01.02.01	441430.3	3: Thorax	einseitig, mäßig schwer (< 1 Lappen betreffend)					
1046	04.01.01.02.02	441432.4	3: Thorax	"einseitig, schwer (&ge; 1 Lappen betreffend)"					
1047	04.01.01.02.03	441451.4	3: Thorax	beidseitig, mäßig schwer (< 1 Lappen betreffend)					
1048	04.01.01.02.04	441452.5	3: Thorax	"beidseitig, schwer (&ge; 1 Lappen betreffend auf mind. einer Seite)"					
1049	04.01.01.03			Hämato-/Pneumothorax					
1050	04.01.01.03.01	442202.2	3: Thorax	Pneumothorax					
1051	04.01.01.03.02	442203.4	3: Thorax	Pneumothorax, schwer (> 50% Kollaps)					
1052	04.01.01.03.03	442204.5	3: Thorax	Spannungspneumothorax					
1053	04.01.01.03.04	442200.3	3: Thorax	Hämatothorax					
1054	04.01.01.03.05	442201.4	3: Thorax	Hämatothorax, schwer (> 1000 ml Blutverlust auf mind. einer Seite)					
1055	04.01.01.03.06	442205.3	3: Thorax	Hämatopneumothorax					
1056	04.01.01.03.07	442206.4	3: Thorax	Hämatopneumothorax, schwer (> 1000 ml Blutverlust auf mind. einer Seite)					
1057	04.01.01.03.08	442207.5	3: Thorax	Luftembolie					
1058	04.01.01.03.09	442208.2	3: Thorax	Hämo-Mediastinum					
1059	04.01.01.03.10	442209.2	3: Thorax	Pneumo-Mediastinum					
1060	04.01.01.03.11	442210.3	3: Thorax	Pneumo-Mediastinum mit Herz-Tamponade					
1061	04.01.01.04			Inhalationstrauma					
1062	04.01.01.04.01	419201.2	3: Thorax	Abwesenheit von kohleartigen Ablagerungen, Erytheme, Ödem, Bronchorrhö, Obstruktion					
1063	04.01.01.04.02	419202.3	3: Thorax	gering oder fleckige Gebiete von Erytheme, Bronchorrhö, kohleartigen Ablagerungen in den proximalen oder distalen Bronchien					
1064	04.01.01.04.03	419204.4	3: Thorax	mäßiger Grad von Erythemen, kohleartigen Ablagerungen, Bronchorrhö mit oder ohne Gefährdung der Bronchien					
1065	04.01.01.04.04	419206.5	3: Thorax	schwere Entzündung mit Bröckeligkeit, kohleartigen Ablagerungen, Bronchorrhö, bronchialer Obstruktion, Hypoxie					
1066	04.01.01.04.05	419208.6	3: Thorax	massiv, Nachweis von Ablösung der Mucosa, Nekrosen, endoluminale Obliteration					
1067	04.01.02			Herz					
1068	04.01.02.01	441002.1	3: Thorax	Kontusion					
1069	04.01.02.02	441006.4	3: Thorax	"schwere Kontusion (bestätigt; EF < 25%)"					
1070	04.01.02.03	441010.3	3: Thorax	Verletzung, ohne Perforation					
1071	04.01.02.04	441012.5	3: Thorax	Verletzung, mit Perforation					
1072	04.01.02.05	441200.5	3: Thorax	Verletzung im Herzen (Klappen, Septum, ...)					
1073	04.01.02.06	441016.6	3: Thorax	"Verletzung, massiv, mit Ventrikelruptur, oder > 50% Gewebeverlust einer Kammer; oder Abriss"					
1074	04.01.03			Perikard					
1075	04.01.03.01	441602.2	3: Thorax	"Verletzung; Punktion"					
1076	04.01.03.02	441603.3	3: Thorax	Hämoperikard, ohne Tamponade					
1077	04.01.03.03	441605.4	3: Thorax	Hämoperikard, mit Tamponade, aber ohne Herzverletzung					
1078	04.01.03.04	441606.5	3: Thorax	Hämoperikard, mit Herniation					
1079	04.01.04			Trachea und Bronchialsystem					
1080	04.01.04.01	442602.3	3: Thorax	"Trachea: Kontusion, Hämatom; leichte Verletzung"					
1081	04.01.04.02	442608.4	3: Thorax	Trachea: Verletzung mit Perforation					
1082	04.01.04.03	442610.5	3: Thorax	Trachea: Verletzung, massiv, Abriss, Durchtrennung					
1083	04.01.04.04	440202.1	3: Thorax	distale Bronchien, Kontusion, Hämatom					
1084	04.01.04.05	440204.2	3: Thorax	distale Bronchien, Verletzung					
1085	04.01.04.06	440102.3	3: Thorax	"Hauptbronchus: Kontusion, Hämatom; leichte Verletzung"					
1086	04.01.04.07	440108.4	3: Thorax	Hauptbronchus: Verletzung mit Perforation					
1087	04.01.04.08	440110.5	3: Thorax	Hauptbronchus: Verletzung, massiv, Abriss, Durchtrennung					
1088	04.01.05			"Ösophagus (Thorax-Bereich, sonst unter ""Hals"" codieren)"					
1089	04.01.05.01	440802.2	3: Thorax	Kontusion, Hämatom					
1090	04.01.05.02	440806.3	3: Thorax	"Verletzung, keine Perforation; Einriss d 50%"					
1091	04.01.05.03	440808.4	3: Thorax	"Verletzung; Perforation ; Einriss > 50%"					
1092	04.01.05.04	440810.5	3: Thorax	"Verletzung; massiv, Ruptur, Abriss"					
1093	04.01.06			Zwerchfell/Diaphragma					
